,x,y
0,46,1
1,35,1
2,35,1
3,42,1
4,49,2
5,42,1
6,35,1
7,52,2
8,56,2
9,41,1
10,37,1
11,37,1
12,42,1
13,49,1
14,32,1
15,35,1
16,32,1
17,42,1
18,42,1
19,39,1
20,30,1
21,45,1
22,46,1
23,30,1
24,45,2
25,31,1
26,48,2
27,39,1
28,42,1
29,29,1
30,38,1
31,44,1
32,41,1
33,33,1
34,34,1
35,38,1
36,35,1
37,38,1
38,46,2
39,33,1
40,48,2
41,38,1
42,40,1
43,41,2
44,44,1
45,39,1
46,33,1
47,56,2
48,36,1
49,37,1
50,38,1
51,37,1
52,35,1
53,42,1
54,46,1
55,38,1
56,36,1
57,36,1
58,45,1
59,56,3
60,37,1
61,45,1
62,35,1
63,41,1
64,41,1
65,37,1
66,37,1
67,40,1
68,40,1
69,29,1
70,41,1
71,45,2
72,41,2
73,48,2
74,38,1
75,50,2
76,39,1
77,53,2
78,37,1
79,42,1
80,33,1
81,36,1
82,46,1
83,39,1
84,33,1
85,35,1
86,45,1
87,40,1
88,33,1
89,32,1
90,32,1
91,43,1
92,38,1
93,40,1
94,41,2
95,52,2
96,32,1
97,31,1
98,34,1
99,41,1
100,33,1
101,38,1
102,42,1
103,43,1
104,32,1
105,43,1
106,45,1
107,49,1
108,37,1
109,33,1
110,46,1
