,x,y
0,2,1
1,1,1
2,2,1
3,2,1
4,1,1
5,2,1
6,1,1
7,2,1
8,2,3
9,2,1
10,2,1
11,2,1
12,2,1
13,2,1
14,2,1
15,1,1
16,2,1
17,2,1
18,2,1
19,4,1
20,4,2
21,2,1
22,2,2
23,1,1
24,2,1
25,2,1
26,1,1
27,2,1
28,4,1
29,4,1
30,2,2
31,2,1
32,2,1
33,2,1
34,2,1
35,2,1
36,2,1
37,1,1
38,1,1
39,4,1
40,2,2
41,2,1
42,1,1
43,2,1
44,2,1
45,1,1
46,2,1
47,2,1
48,2,1
49,2,1
50,2,1
51,2,1
52,2,1
53,2,1
54,2,1
55,2,1
56,1,1
57,2,1
58,2,1
59,2,1
60,2,1
61,2,1
62,2,1
63,2,1
64,2,1
65,2,1
66,2,1
67,2,1
68,2,1
69,2,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,2,1
82,2,1
83,2,1
