,x,y
0,37,13
1,39,7
2,60,8
3,46,15
4,45,15
5,46,13
6,58,15
7,55,15
8,49,3
9,48,2
10,51,1
11,54,7
12,59,5
13,15,13
14,29,13
15,47,13
16,48,13
17,48,9
18,48,9
19,26,9
20,79,9
21,37,11
22,33,15
23,43,21
24,44,14
25,44,14
26,34,7
27,18,7
28,12,6
29,34,6
30,49,6
31,48,6
32,52,7
33,44,7
34,29,6
35,59,5
36,48,3
37,53,5
38,22,8
39,18,2
40,24,3
41,15,10
42,14,10
43,15,8
44,108,20
45,19,20
46,36,2
47,25,3
48,24,4
49,17,2
50,20,0
51,40,8
52,30,8
53,10,8
54,10,8
55,9,4
56,9,4
57,74,4
58,42,4
59,28,16
60,34,20
61,44,26
62,9,19
63,9,19
64,83,2
65,39,2
66,53,1
67,83,1
68,10,1
69,11,1
70,10,2
71,17,2
72,53,11
73,20,10
74,9,2
75,17,10
76,13,4
77,20,5
78,8,12
79,7,12
80,8,10
81,103,18
82,14,18
83,31,0
84,20,1
85,17,2
86,12,4
87,11,2
88,35,10
89,25,10
90,5,10
91,6,10
92,0,6
93,0,6
94,67,6
95,37,6
96,21,14
97,29,18
98,39,24
99,4,17
100,4,17
101,78,4
102,34,4
103,48,3
104,78,3
105,3,3
106,6,3
107,6,4
108,12,4
109,46,9
110,13,8
111,28,18
112,24,12
113,13,13
114,17,20
115,16,20
116,17,18
117,114,10
118,7,10
119,24,8
120,13,7
121,10,6
122,5,12
123,6,10
124,46,18
125,36,18
126,16,18
127,17,18
128,13,14
129,13,14
130,78,14
131,30,14
132,22,6
133,28,10
134,32,16
135,15,9
136,15,9
137,89,12
138,45,12
139,59,11
140,89,11
141,12,11
142,15,11
143,17,12
144,23,12
145,55,1
146,39,19
147,41,13
148,60,14
149,42,21
150,41,21
151,42,19
152,59,9
153,57,9
154,51,9
155,50,8
156,49,7
157,56,13
158,57,11
159,33,19
160,43,19
161,49,19
162,50,19
163,46,15
164,46,15
165,31,15
166,81,15
167,35,5
168,33,9
169,33,15
170,46,8
171,46,8
172,60,13
173,32,13
174,22,12
175,52,12
176,45,12
177,50,12
178,50,13
179,46,13
180,19,6
181,13,0
182,30,1
183,9,8
184,8,8
185,9,6
186,99,22
187,20,22
188,31,4
189,20,5
190,21,6
191,18,0
192,23,2
193,31,6
194,25,6
195,11,6
196,12,6
197,12,2
198,12,2
199,67,2
200,41,2
201,25,18
202,29,22
203,39,28
204,8,21
205,8,21
206,72,0
207,28,0
208,44,1
209,74,1
210,13,1
211,10,1
212,16,0
213,21,6
214,17,0
215,18,1
216,12,8
217,11,8
218,12,6
219,107,22
220,18,22
221,35,4
222,24,5
223,21,6
224,16,0
225,17,2
226,39,6
227,29,6
228,9,6
229,10,6
230,6,2
231,6,2
232,71,2
233,41,2
234,25,18
235,33,22
236,43,28
237,8,21
238,8,21
239,82,0
240,38,0
241,52,1
242,82,1
243,7,1
244,10,1
245,17,7
246,11,1
247,22,2
248,12,9
249,11,9
250,12,7
251,103,21
252,12,21
253,29,3
254,18,4
255,19,5
256,10,1
257,15,1
258,35,7
259,25,7
260,5,7
261,6,7
262,6,3
263,6,3
264,71,3
265,33,3
266,23,17
267,27,21
268,37,27
269,4,20
270,4,20
271,76,1
272,32,1
273,48,0
274,78,0
275,7,0
276,16,7
277,14,1
278,21,2
279,7,9
280,6,9
281,7,7
282,104,21
283,15,21
284,30,3
285,19,4
286,16,5
287,13,1
288,14,1
289,36,7
290,24,7
291,6,7
292,7,7
293,3,3
294,3,3
295,68,3
296,38,3
297,22,17
298,30,21
299,40,27
300,5,20
301,5,20
302,79,1
303,35,1
304,49,0
305,79,0
306,67,7
307,69,1
308,87,2
309,76,9
310,75,9
311,76,7
312,37,21
313,85,21
314,79,3
315,78,4
316,81,5
317,84,1
318,89,1
319,45,7
320,59,7
321,75,7
322,78,7
323,78,3
324,78,3
325,25,3
326,109,3
327,67,17
328,61,21
329,65,27
330,74,20
331,74,20
332,10,1
333,48,1
334,34,0
335,37,7
336,39,1
337,58,2
338,46,9
339,45,9
340,46,7
341,59,21
342,55,21
343,49,3
344,48,4
345,51,5
346,54,1
347,59,1
348,15,7
349,29,7
350,47,7
351,48,7
352,48,3
353,48,3
354,27,3
355,79,3
356,37,17
357,31,21
358,35,27
359,44,20
360,44,20
361,42,1
362,18,1
363,23,6
364,21,0
365,50,1
366,32,8
367,31,8
368,32,6
369,73,22
370,42,22
371,37,4
372,34,5
373,37,6
374,40,0
375,45,2
376,5,6
377,15,6
378,33,6
379,34,6
380,34,2
381,34,2
382,41,2
383,63,2
384,31,18
385,35,22
386,45,28
387,30,21
388,30,21
389,44,0
390,67,6
391,65,0
392,91,1
393,76,8
394,75,8
395,76,6
396,45,22
397,85,22
398,79,4
399,78,5
400,81,6
401,84,0
402,89,2
403,45,6
404,59,6
405,77,6
406,78,6
407,78,2
408,78,2
409,33,2
410,107,2
411,67,18
412,63,22
413,73,28
414,74,21
415,74,21
416,15,27
417,11,21
418,22,22
419,8,29
420,7,29
421,8,27
422,99,1
423,12,1
424,27,17
425,16,16
426,17,15
427,10,21
428,15,19
429,31,27
430,21,27
431,3,27
432,4,27
433,4,23
434,4,23
435,67,23
436,35,23
437,21,3
438,25,1
439,35,7
440,0,0
441,15,27
442,11,21
443,22,22
444,8,29
445,7,29
446,8,27
447,99,1
448,12,1
449,27,17
450,16,16
451,17,15
452,10,21
453,15,19
454,31,27
455,21,27
456,3,27
457,4,27
458,4,23
459,4,23
460,67,23
461,35,23
462,21,3
463,25,1
464,35,7
465,50,34
466,46,28
467,35,29
468,39,36
469,38,36
470,39,34
471,86,6
472,28,6
473,22,24
474,21,23
475,24,22
476,27,28
477,32,26
478,46,34
479,56,34
480,38,34
481,39,34
482,39,30
483,39,30
484,54,30
485,52,30
486,18,10
487,10,6
488,40,28
489,36,22
490,35,23
491,29,30
492,28,30
493,29,28
494,86,0
495,24,0
496,18,18
497,17,17
498,20,16
499,23,22
500,28,20
501,36,28
502,46,28
503,28,28
504,29,28
505,29,24
506,29,24
507,54,24
508,48,24
509,8,4
510,36,24
511,32,18
512,29,19
513,21,26
514,20,26
515,21,24
516,92,4
517,22,4
518,16,14
519,15,13
520,14,12
521,21,18
522,22,16
523,32,24
524,42,24
525,24,24
526,25,24
527,21,20
528,21,20
529,56,20
530,46,20
531,48,4
532,42,2
533,39,1
534,43,6
535,42,6
536,43,4
537,134,24
538,27,24
539,44,6
540,33,7
541,34,8
542,25,2
543,30,4
544,66,4
545,56,4
546,36,4
547,37,4
548,37,0
549,37,0
550,102,0
551,60,4
552,62,2
553,76,1
554,65,6
555,64,6
556,65,4
557,40,24
558,78,24
559,72,6
560,71,7
561,70,8
562,77,2
563,78,4
564,38,4
565,52,4
566,70,4
567,71,4
568,67,0
569,67,0
570,17,4
571,13,2
572,20,1
573,8,6
574,7,6
575,8,4
576,103,24
577,14,24
578,31,6
579,20,7
580,17,8
581,12,2
582,11,4
583,35,4
584,25,4
585,5,4
586,6,4
587,0,0
588,17,4
589,13,2
590,20,1
591,8,6
592,7,6
593,8,4
594,103,24
595,14,24
596,31,6
597,20,7
598,17,8
599,12,2
600,11,4
601,35,4
602,25,4
603,5,4
604,6,4
605,17,0
606,13,6
607,24,5
608,12,2
609,11,2
610,12,0
611,103,28
612,14,28
613,31,10
614,20,11
615,21,12
616,12,6
617,17,8
618,35,0
619,25,0
620,5,0
621,16,0
622,12,6
623,23,5
624,11,2
625,10,2
626,11,0
627,102,28
628,13,28
629,30,10
630,19,11
631,20,12
632,11,6
633,16,8
634,34,0
635,24,0
636,8,0
637,16,6
638,41,5
639,27,2
640,26,2
641,27,0
642,84,28
643,33,28
644,46,10
645,35,11
646,36,12
647,31,6
648,36,8
649,16,0
650,24,0
651,26,6
652,49,5
653,33,2
654,32,2
655,33,0
656,70,28
657,43,28
658,38,10
659,35,11
660,38,12
661,41,6
662,46,8
663,28,8
664,24,2
665,13,3
666,19,10
667,18,10
668,19,8
669,114,20
670,7,20
671,24,2
672,13,3
673,10,4
674,5,2
675,23,6
676,19,0
677,12,1
678,18,8
679,17,8
680,18,6
681,109,22
682,2,22
683,19,4
684,8,5
685,9,6
686,30,12
687,28,6
688,17,7
689,17,14
690,16,14
691,17,12
692,106,16
693,11,16
694,14,2
695,3,1
696,29,11
697,27,5
698,20,6
699,20,13
700,19,13
701,20,11
702,103,17
703,10,17
704,11,1
705,40,10
706,38,4
707,31,5
708,31,12
709,30,12
710,31,10
711,104,18
712,21,18
713,25,28
714,21,22
715,14,23
716,20,30
717,19,30
718,20,28
719,109,0
720,92,28
721,94,22
722,112,23
723,101,30
724,100,30
725,101,28
726,21,0
727,17,6
728,26,5
729,2,2
730,1,2
731,20,2
732,16,8
733,25,7
734,1,0
735,21,2
736,17,8
737,26,7
738,35,5
739,31,1
740,8,6
741,2,2
742,8,19
743,9,18
744,0,24
745,5,22
746,11,30
747,10,3
748,10,3
749,10,23
750,5,12
751,17,22
752,9,0
753,9,2
754,12,1
755,2,0
756,7,2
757,9,0
758,7,22
759,6,2
760,9,1
761,9,2
762,4,2
763,10,19
764,2,24
765,7,22
766,12,3
767,12,3
768,7,12
769,19,22
770,11,0
771,11,2
772,11,0
773,9,22
774,4,28
775,5,28
776,5,24
777,5,24
778,3,1
779,3,1
780,6,21
781,3,21
782,5,18
783,10,20
784,11,2
785,9,24
786,12,23
787,5,1
788,10,30
789,9,24
790,5,14
791,12,9
792,5,0
793,4,21
794,7,15
795,11,8
796,11,5
797,9,16
