id	difference_in_days
hCoV_19_Wuhan_IVDC_HB_01_2019	6
hCoV_19_Wuhan_IVDC_HB_04_2020	8
hCoV_19_Wuhan_IVDC_HB_05_2019	6
hCoV_19_Wuhan_Hu_1_2019	7
hCoV_19_Wuhan_WIV06_2019	6
hCoV_19_Wuhan_WIV07_2019	6
hCoV_19_Wuhan_IPBCAMS_WH_05_2020	8
hCoV_19_Wuhan_IPBCAMS_WH_03_2019	6
hCoV_19_Thailand_61_2020	15
hCoV_19_Thailand_74_2020	20
hCoV_19_Zhejiang_WZ_01_2020	23
hCoV_19_USA_IL_CDC_02983522_001_2020	28
hCoV_19_USA_WA_CDC_02982586_001_2020	26
hCoV_19_Shenzhen_HKU_SZ_005_2020	18
hCoV_19_Guangdong_HKU_SZ_002_2020	17
hCoV_19_Taiwan_2_2020	30
hCoV_19_USA_CA_CDC_02993471_001_2020	30
hCoV_19_USA_CA_CDC_02993506_001_2020	29
hCoV_19_USA_AZ_CDC_02993465_001_2020	29
hCoV_19_Guangdong_20SF174_2020	29
hCoV_19_Guangzhou_20SF206_2020	29
hCoV_19_France_IDF_0372_2020	30
hCoV_19_France_IDF_0373_2020	30
hCoV_19_Wuhan_WHU01_2020	9
hCoV_19_Wuhan_WHU02_2020	9
hCoV_19_Wuhan_WH01_2019	2
hCoV_19_Wuhan_WH03_2020	8
hCoV_19_Wuhan_WH04_2020	12
hCoV_19_Australia_VIC01_2020	32
hCoV_19_SouthKorea_KCDC03_2020	32
hCoV_19_USA_WA_CDC_02982585_001_2020	32
hCoV_19_USA_WA1_F6_2020	32
hCoV_19_USA_CA_CDC_03039595_001_2020	36
hCoV_19_USA_CA_CDC_03040142_001_2020	36
hCoV_19_France_IDF_0515_2020	36
hCoV_19_France_IDF_0626_2020	36
hCoV_19_Chongqing_YC01_2020	28
hCoV_19_Chongqing_ZX01_2020	30
hCoV_19_Yunnan_IVDC_YN_003_2020	24
hCoV_19_Chongqing_IVDC_CQ_001_2020	25
hCoV_19_Shandong_IVDC_SD_001_2020	26
hCoV_19_env_Wuhan_IVDC_HBF13_20_2020	8
hCoV_19_env_Wuhan_IVDC_HBF13_21_2020	8
hCoV_19_Japan_TY_WK_012_2020	36
hCoV_19_Japan_TY_WK_501_2020	38
hCoV_19_Japan_TY_WK_521_2020	38
hCoV_19_Vietnam_VR03_38142_2020	31
hCoV_19_France_IDF_0372_isl_2020	30
hCoV_19_France_IDF_0515_isl_2020	36
