,x,y
0,2,13
1,1,7
2,1,8
3,2,15
4,2,15
5,2,13
6,1,15
7,1,15
8,2,3
9,1,2
10,1,1
11,1,7
12,2,5
13,1,13
14,2,13
15,2,13
16,2,13
17,1,9
18,1,9
19,1,9
20,1,9
21,1,11
22,1,15
23,1,21
24,1,14
25,1,14
26,1,7
27,1,7
28,1,6
29,1,6
30,1,6
31,1,6
32,2,7
33,1,7
34,1,6
35,1,5
36,1,3
37,2,5
38,2,8
39,1,2
40,1,3
41,2,10
42,2,10
43,2,8
44,1,20
45,1,20
46,2,2
47,1,3
48,1,4
49,1,2
50,2,0
51,1,8
52,2,8
53,2,8
54,2,8
55,1,4
56,1,4
57,1,4
58,1,4
59,1,16
60,1,20
61,1,26
62,1,19
63,1,19
64,1,2
65,1,2
66,1,1
67,1,1
68,1,1
69,1,1
70,2,2
71,1,2
72,1,11
73,1,10
74,1,2
75,1,10
76,0,4
77,0,5
78,1,12
79,1,12
80,1,10
81,0,18
82,0,18
83,1,0
84,0,1
85,0,2
86,0,4
87,1,2
88,0,10
89,1,10
90,1,10
91,1,10
92,0,6
93,0,6
94,0,6
95,0,6
96,0,14
97,0,18
98,0,24
99,0,17
100,0,17
101,0,4
102,0,4
103,0,3
104,0,3
105,0,3
106,0,3
107,1,4
108,0,4
109,0,9
110,0,8
111,1,18
112,0,12
113,0,13
114,1,20
115,1,20
116,1,18
117,0,10
118,0,10
119,1,8
120,0,7
121,0,6
122,0,12
123,1,10
124,0,18
125,1,18
126,1,18
127,1,18
128,0,14
129,0,14
130,0,14
131,0,14
132,0,6
133,0,10
134,0,16
135,0,9
136,0,9
137,0,12
138,0,12
139,0,11
140,0,11
141,0,11
142,0,11
143,1,12
144,0,12
145,0,1
146,1,19
147,0,13
148,0,14
149,1,21
150,1,21
151,1,19
152,0,9
153,0,9
154,1,9
155,0,8
156,0,7
157,0,13
158,1,11
159,0,19
160,1,19
161,1,19
162,1,19
163,0,15
164,0,15
165,0,15
166,0,15
167,0,5
168,0,9
169,0,15
170,0,8
171,0,8
172,0,13
173,0,13
174,0,12
175,0,12
176,0,12
177,0,12
178,1,13
179,0,13
180,1,6
181,0,0
182,0,1
183,1,8
184,1,8
185,1,6
186,0,22
187,0,22
188,1,4
189,0,5
190,0,6
191,0,0
192,1,2
193,0,6
194,1,6
195,1,6
196,1,6
197,0,2
198,0,2
199,0,2
200,0,2
201,0,18
202,0,22
203,0,28
204,0,21
205,0,21
206,0,0
207,0,0
208,0,1
209,0,1
210,0,1
211,0,1
212,1,0
213,2,6
214,1,0
215,1,1
216,2,8
217,2,8
218,2,6
219,1,22
220,1,22
221,2,4
222,1,5
223,1,6
224,1,0
225,2,2
226,1,6
227,2,6
228,2,6
229,2,6
230,1,2
231,1,2
232,1,2
233,1,2
234,1,18
235,1,22
236,1,28
237,1,21
238,1,21
239,1,0
240,1,0
241,1,1
242,1,1
243,1,1
244,1,1
245,1,7
246,0,1
247,0,2
248,1,9
249,1,9
250,1,7
251,0,21
252,0,21
253,1,3
254,0,4
255,0,5
256,0,1
257,1,1
258,0,7
259,1,7
260,1,7
261,1,7
262,0,3
263,0,3
264,0,3
265,0,3
266,0,17
267,0,21
268,0,27
269,0,20
270,0,20
271,0,1
272,0,1
273,0,0
274,0,0
275,0,0
276,1,7
277,0,1
278,0,2
279,1,9
280,1,9
281,1,7
282,0,21
283,0,21
284,1,3
285,0,4
286,0,5
287,0,1
288,1,1
289,0,7
290,1,7
291,1,7
292,1,7
293,0,3
294,0,3
295,0,3
296,0,3
297,0,17
298,0,21
299,0,27
300,0,20
301,0,20
302,0,1
303,0,1
304,0,0
305,0,0
306,1,7
307,0,1
308,0,2
309,1,9
310,1,9
311,1,7
312,0,21
313,0,21
314,1,3
315,0,4
316,0,5
317,0,1
318,1,1
319,0,7
320,1,7
321,1,7
322,1,7
323,0,3
324,0,3
325,0,3
326,0,3
327,0,17
328,0,21
329,0,27
330,0,20
331,0,20
332,0,1
333,0,1
334,0,0
335,1,7
336,0,1
337,0,2
338,1,9
339,1,9
340,1,7
341,0,21
342,0,21
343,1,3
344,0,4
345,0,5
346,0,1
347,1,1
348,0,7
349,1,7
350,1,7
351,1,7
352,0,3
353,0,3
354,0,3
355,0,3
356,0,17
357,0,21
358,0,27
359,0,20
360,0,20
361,0,1
362,0,1
363,1,6
364,0,0
365,0,1
366,1,8
367,1,8
368,1,6
369,0,22
370,0,22
371,1,4
372,0,5
373,0,6
374,0,0
375,1,2
376,0,6
377,1,6
378,1,6
379,1,6
380,0,2
381,0,2
382,0,2
383,0,2
384,0,18
385,0,22
386,0,28
387,0,21
388,0,21
389,0,0
390,1,6
391,0,0
392,0,1
393,1,8
394,1,8
395,1,6
396,0,22
397,0,22
398,1,4
399,0,5
400,0,6
401,0,0
402,1,2
403,0,6
404,1,6
405,1,6
406,1,6
407,0,2
408,0,2
409,0,2
410,0,2
411,0,18
412,0,22
413,0,28
414,0,21
415,0,21
416,1,27
417,0,21
418,0,22
419,1,29
420,1,29
421,1,27
422,0,1
423,0,1
424,1,17
425,0,16
426,0,15
427,0,21
428,1,19
429,0,27
430,1,27
431,1,27
432,1,27
433,0,23
434,0,23
435,0,23
436,0,23
437,0,3
438,0,1
439,0,7
440,0,0
441,1,27
442,0,21
443,0,22
444,1,29
445,1,29
446,1,27
447,0,1
448,0,1
449,1,17
450,0,16
451,0,15
452,0,21
453,1,19
454,0,27
455,1,27
456,1,27
457,1,27
458,0,23
459,0,23
460,0,23
461,0,23
462,0,3
463,0,1
464,0,7
465,1,34
466,0,28
467,0,29
468,1,36
469,1,36
470,1,34
471,0,6
472,0,6
473,1,24
474,0,23
475,0,22
476,0,28
477,1,26
478,0,34
479,1,34
480,1,34
481,1,34
482,0,30
483,0,30
484,0,30
485,0,30
486,0,10
487,0,6
488,1,28
489,0,22
490,0,23
491,1,30
492,1,30
493,1,28
494,0,0
495,0,0
496,1,18
497,0,17
498,0,16
499,0,22
500,1,20
501,0,28
502,1,28
503,1,28
504,1,28
505,0,24
506,0,24
507,0,24
508,0,24
509,0,4
510,1,24
511,0,18
512,0,19
513,1,26
514,1,26
515,1,24
516,0,4
517,0,4
518,1,14
519,0,13
520,0,12
521,0,18
