,0,1,2
0,hCoV_19_England_01_2020,hCoV_19_Mexico_CMX_InDRE_01_2020,99.7
1,hCoV_19_England_01_2020,hCoV_19_Singapore_14Clin_2020,98.6
2,hCoV_19_England_01_2020,hCoV_19_USA_MD_HP00010_2020,99.8
3,hCoV_19_England_01_2020,hCoV_19_Thailand_Nakhonnayok_2829_2020,99.8
4,hCoV_19_England_01_2020,hCoV_19_Canada_NB_219_2020,99.6
5,hCoV_19_England_01_2020,hCoV_19_Bangladesh_BCSIR_NILMRC_262_2020,99.7
6,hCoV_19_England_01_2020,hCoV_19_USA_WA_S2710_2020,99.8
7,hCoV_19_England_01_2020,hCoV_19_England_QEUH_9C9DF4_2020,99.7
8,hCoV_19_England_01_2020,hCoV_19_India_DL_ILBS_279M_2020,99.8
9,hCoV_19_England_01_2020,hCoV_19_Germany_NW_HHU_321_2020,99.7
10,hCoV_19_Mexico_CMX_InDRE_01_2020,hCoV_19_Singapore_14Clin_2020,98.4
11,hCoV_19_Mexico_CMX_InDRE_01_2020,hCoV_19_USA_MD_HP00010_2020,99.6
12,hCoV_19_Mexico_CMX_InDRE_01_2020,hCoV_19_Thailand_Nakhonnayok_2829_2020,99.8
13,hCoV_19_Mexico_CMX_InDRE_01_2020,hCoV_19_Canada_NB_219_2020,99.4
14,hCoV_19_Mexico_CMX_InDRE_01_2020,hCoV_19_Bangladesh_BCSIR_NILMRC_262_2020,100.0
15,hCoV_19_Mexico_CMX_InDRE_01_2020,hCoV_19_USA_WA_S2710_2020,99.7
16,hCoV_19_Mexico_CMX_InDRE_01_2020,hCoV_19_England_QEUH_9C9DF4_2020,99.5
17,hCoV_19_Mexico_CMX_InDRE_01_2020,hCoV_19_India_DL_ILBS_279M_2020,99.9
18,hCoV_19_Mexico_CMX_InDRE_01_2020,hCoV_19_Germany_NW_HHU_321_2020,99.6
19,hCoV_19_Singapore_14Clin_2020,hCoV_19_USA_MD_HP00010_2020,98.5
20,hCoV_19_Singapore_14Clin_2020,hCoV_19_Thailand_Nakhonnayok_2829_2020,98.6
21,hCoV_19_Singapore_14Clin_2020,hCoV_19_Canada_NB_219_2020,98.4
